Device Type,Client Name,Host name,Client IP address,Clients MAC Address,Interface,,,
SmartRG Inc.,Router,ControlPanel.Home,192.168.1.1,3C:90:66:0E:ED:C4,Wired,,,
ATA,Telephone,SPA112,192.168.1.2,34:DB:FD:5C:0C:67,5 GHz-2,,,
Hewlett Packard,HP_Printer,NPI8EE4F7,192.168.1.3,78:AC:C0:8E:E4:F7,Wired,,,
ASUS,Wireless Router,RT-AC5300-FA00,192.168.1.5,2C:56:DC:5C:FA:00,Wired,2C:56:DC:5C:FA:00,192.168.1.5,
Raspberry Pi Foundation,basement wireless,basement,192.168.1.8 ,dc:a6:32:4a:e6:fa,,,,
WESTERN DIGITAL,WESTERN DIGITAL Backup,WDMyCloud,192.168.1.9,00:90:A9:D2:C3:7F,Wired,00:90:a9:d2:c3:7f,192.168.1.9,
,,basement,192.168.1.11,dc:a6:32:4a:e6:f9,,dc:a6:32:4a:e6:f9,192.168.1.11,
,,,,1c:6f:65:3f:c9:d2,,1c:6f:65:3f:c9:d2,192.168.1.13,
Hewlett Packard,Hewlett Packard,HP839C21,192.168.1.19,EC:8E:B5:83:9C:21,2.4 GHz,EC:8E:B5:83:9C:21,192.168.1.19,
Raspberry Pi Foundation,piserver,piserver,192.168.1.20,B8:27:EB:FD:30:DA,Wired,b8:27:eb:fd:30:da,192.168.1.20,
Raspberry Pi Foundation,piServer,piserver,192.168.1.21,B8:27:EB:A8:65:8F,2.4 GHz,b8:27:eb:a8:65:8f,192.168.1.21,
,,,,,,b8:27:eb:a1:f4:55,192.168.1.22,x
,,,,,,00:15:5d:01:0f:0f,192.168.1.29,
,,,,,,b8:27:eb:82:32:bc,192.168.1.30,
,,,,,,b8:27:eb:d7:67:e9,192.168.1.31,
Loading manufacturer..,PI 4 Wired,,192.168.1.34,DC:A6:32:4A:E6:FA,2.4 GHz,,,
Raspberry Pi Foundation,Pi Zero W,,192.168.1.35,B8:27:EB:36:5E:F9,2.4 GHz,,,
